number,settlement_id,settlement_name_rastorgueva,settlement_name_official,settlement_name_official_lat,settlement_name_official_full,settlement_name_russian,country_modern,lat,lon,coords_comment
1,1,Пскем,Piskom,Piskom,Piskom,Пскем,Uzbekistan,41.89032,70.35903,
2,2,Нанай,Nanay,Nanay,Nanay,Нанай,Uzbekistan,41.713541,70.107175,
3,3,Богустан,Bogʻiston,Bogʻiston,Bogʻiston,Багистан,Uzbekistan,41.695473,70.088059,
4,4,Брич-Мулла,Burchmullo,Burchmullo,Burchmullo,Бурчмулла,Uzbekistan,41.600038,70.101183,
5,5,Кассансай,Kosonsoy,Kosonsoy,Kosonsoy,Касансай,Uzbekistan,41.24714,71.54272,
6,6,Чуст,Chust,Chust,Chust,Чуст,Uzbekistan,41.00204,71.22672,
7,7,Ашт,Ашти Поён,Ashti Poyon,Ашти Поён (Ashti Poyon),Ашти Поён,Tajikistan,40.811739,70.604705,
8,8,Понгаз,Понғоз,Ponghoz,Понғоз (Ponghoz),Понгоз,Tajikistan,40.73799,70.25725,
9,9,Бобоидархон,Бободархон,Bobodarkhon,Бободархон (Bobodarkhon),Бободархон,Tajikistan,40.71212,70.25865,
10,10,Шайдан,Шайдон,Shaydon,Шайдон (Shaydon),Шайдон,Tajikistan,40.65906,70.347537,
11,11,Канибадам,Конибодом,Konibodom,Конибодом (Konibodom),Канибадам,Tajikistan,40.29824,70.41938,
12,12,Исфара,Исфара,Isfara,Исфара (Isfara),Исфара,Tajikistan,40.12072,70.61573,
13,13,Куйбышево (Риштан),Rishton,Rishton,Rishton,Риштон,Uzbekistan,40.3596,71.27914,
14,14,Пенджикент,Панҷакент,Panjakent,Панҷакент (Panjakent),Пенджикент,Tajikistan,39.49173,67.60661,
15,15,Зебон,Зебон,Zebon,Зебон (Zebon),Зебон,Tajikistan,39.44402,67.59427,
16,16,Филмандар,Филмандар,Filmandar,Филмандар (Filmandar),Филмандар,Tajikistan,39.390089,67.757407,
17,17,Костарош,Косатарош,Kosatarosh,Косатарош (Kosatarosh),Косатарош,Tajikistan,39.37643,67.763046,
18,18,Шахристан,Шаҳристон,Shahriston,Шаҳристон (Shahriston),Шахристан,Tajikistan,39.7737,68.81684,
19,19,Урмитан,Урметан,Urmetan,Урметан (Urmetan),Урметан,Tajikistan,39.4454,68.25343,
20,20,Дар-Дар,Дар Дар,Dar Dar,Дар Дар (Dar Dar),Дар Дар,Tajikistan,39.43961,68.44571,
21,21,Рарз,Рарз,Rarz,Рарз (Rarz),Рарз,Tajikistan,39.38271,68.74828,
22,22,Пахурд,Похут,Pokhut,Похут (Pokhut),Похут,Tajikistan,39.37806,68.80194,
23,23,Шаватки боло,Шаватки Боло,Shavatki Bolo,Шаватки Боло (Shavatki Bolo),Шаватки Боло,Tajikistan,39.40095,68.88987,
24,24,Вешаб,Вешаб,Veshab,Вешаб (Veshab),Вешаб,Tajikistan,39.41245,68.93756,
25,25,Пети,Пете,Pete,Пете (Pete),Пете,Tajikistan,39.249530,68.545993,
26,26,Пинйон,Пинён,Pinyon,Пинён (Pinyon),Пинён,Tajikistan,39.21666,68.51666,
27,27,Шурмашк,Шӯрмашк,Shūrmashk,Шӯрмашк (Shūrmashk),Шурмашк,Tajikistan,39.22972,68.47277,
28,28,Такфон,Такфон,Takfon,Такфон (Takfon),Такфон,Tajikistan,39.20548,68.62234,
29,29,Гончи,Ғончӣ,Ghonchi,Ғончӣ (Ghonchi),Ганчи,Tajikistan,39.96252,69.13874,
30,30,Ура-Тюбе,Истаравшан,Istaravshan,Истаравшан (Istaravshan),Истаравшан,Tajikistan,39.87727,69.02549,
31,31,Матча,Мадрушкат,Madrushkat,Мадрушкат (Madrushkat),Мадрушкат,Tajikistan,39.448455,69.66867,
32,32,Пастигав,Пастиғав,Pastighav,Пастиғав (Pastighav),Пастигав,Tajikistan,39.41728,69.22464,
33,33,Падаск,Падаск,Padask,Падаск (Padask),Падаск,Tajikistan,39.42744,69.65733,
34,34,Польдорак,Палдорак,Paldorak,Палдорак (Paldorak),Палдорак,Tajikistan,39.417128,69.962053,
35,35,Рог,Роғ,Rogh,Роғ (Rogh),Рог,Tajikistan,39.430762,70.011262,
36,36,Шинглич,Шингилич,Shingilich,Шингилич (Shingilich),Шингилич,Tajikistan,39.16088,70.19294,
37,37,Пингон,Пингон,Pingon,Пингон (Pingon),Пингон,Tajikistan,39.13987,70.24066,
38,38,Джарф,Ҷафр,Jafr,Ҷафр (Jafr),Джафр,Tajikistan,39.09916,70.59138,
39,39,Каланак,Қалъанак,Qal’anak,Қалъанак (Qal’anak),Каланак,Tajikistan,39.06729,70.49376,
40,40,Новабад,Навобод,Navobod,Навобод (Navobod),Навабад,Tajikistan,39.01083,70.15,
41,41,Казнок,Қазноқ,Qaznoq,Қазноқ (Qaznoq),Казнок,Tajikistan,39.00927,70.25952,
42,42,Яхакпаст,Яхакпаст,Yakhakpast,Яхакпаст (Yakhakpast),Яхакпаст,Tajikistan,39.01577,70.47725,
43,43,Сох,Soʻx,Soʻx,Soʻx,Сох,Uzbekistan,39.977773,71.127717,
44,44,Сары Канда,Sarikanda,Sarikanda,Sarikanda,Сариканда,Uzbekistan,39.94927,71.12916,
45,45,Сайроб,Sayrob,Sayrob,Sayrob,Сайроб,Uzbekistan,38.063151,66.993919,
46,46,Сариосиё,Sariosiyo,Sariosiyo,Sariosiyo,Сариасия,Uzbekistan,38.41333,67.95722,
47,47,Дербент,Darband,Darband,Darband,Дербент,Uzbekistan,38.211,67.022,
48,48,Байсун,Boysun,Boysun,Boysun,Байсун,Uzbekistan,38.20803,67.20686,
49,49,Пасурхи,Pasurxi,Pasurxi,Pasurxi,Пасурхи,Uzbekistan,38.185676,67.19308,
50,50,Пугус,Пуғуз,Pughuz,Пуғуз (Pughuz),Пугуз,Tajikistan,38.85085,68.85179,
51,51,Деамалик,Деҳмалик,Dehmalik,Деҳмалик (Dehmalik),Деамалик,Tajikistan,38.86684,68.93452,
52,52,Варзоб Кала,Варзоб,Varzob,Варзоб (Varzob),Варзоб,Tajikistan,38.77789,68.81579,
53,53,Пуштимиена,Пуштимиёна,Pushtimiyona,Пуштимиёна (Pushtimiyona),Пуштимиёна,Tajikistan,38.680951,68.367234,
54,54,Шурхак,Шурхок,Shurkhok,Шурхок (Shurkhok),Шурхок,Tajikistan,38.684701,68.331062,
55,55,Чорбог,Чорбоғ,Chorbogh,Чорбоғ (Chorbogh),Чорбог,Tajikistan,38.6715,68.76835,
56,56,Каратог ,Қаратоғ,Qaratogh,Қаратоғ (Qaratogh),Каратог ,Tajikistan,38.623455,68.327531,
57,57,Гиссар,Ҳисор,Hisor,Ҳисор (Hisor),Гиссар,Tajikistan,38.52772,68.55771,
58,58,Сари-Хосор,Сари-Хосор,Sari-Khosor,Сари-Хосор (Sari-Khosor),Сари-Хосор,Tajikistan,38.53301,69.81616,
59,59,Саталмуш,Саталмуш,Satalmush,Саталмуш (Satalmush),Саталмуш,Tajikistan,38.33331,69.74964,
60,60,Ховалинг,Ховалинг,Khovaling,Ховалинг (Khovaling),Ховалинг,Tajikistan,38.33839,69.97241,
61,61,Бальджуан,Балҷувон,Baljuvon,Балҷувон (Baljuvon),Бальджувон,Tajikistan,38.30692,69.67462,
62,62,Кипчак,Чашмасор,Chashmasor,Чашмасор (Chashmasor),Чашмасор,Tajikistan,38.03006,69.92903,
63,63,Чилдара,Чилдара,Childara,Чилдара (Childara),Чилдара,Tajikistan,38.78084,70.30642,
64,64,Гишун,?,Gushun,? (Gushun),Гушун,Tajikistan,38.646303,70.878127,
65,65,Хост,Хост,Khost,Хост (Khost),Хост,Tajikistan,38.54753,70.82883,
66,66,Джарф,Ҷорф,Jorf,Ҷорф (Jorf),Джорф,Tajikistan,38.47866,70.96181,
67,67,Султанмазор,Мазори Ҳазрати Султон,Mazori Hazrati Sulton,Мазори Ҳазрати Султон (Mazori Hazrati Sulton),Мазори Хазрати Султон,Tajikistan,38.46884,70.06623,
68,68,Калай-Хумб,Қалъаи Хумб,Qal’ai Khumb,Қалъаи Хумб (Qal’ai Khumb),Калаихум,Tajikistan,38.46132,70.78912,
69,69,Кеврон,Кеврон,Kevron,Кеврон (Kevron),Кеврон,Tajikistan,38.47668,70.88856,
70,70,Умарак,Умарак,Umarak,Умарак (Umarak),Умарак,Tajikistan,38.44644,70.76309,
71,71,Егид,Ёгед,Yoged,Ёгед (Yoged),Ёгед,Tajikistan,38.35265,70.61566,
72,72,Сангев,Сангевн,Sangevn,Сангевн (Sangevn),Сангевн,Tajikistan,38.27532,70.57758,
73,73,Муминабад,Мӯъминобод,Mū’minobod,Мӯъминобод (Mū’minobod),Муминабад,Tajikistan,38.10564,70.03232,
74,74,Зыгар,Зиғар,Zighar,Зиғар (Zighar),Зигар,Tajikistan,38.10354,70.44542,
75,75,Даштиджум,Дашти Ҷум,Dashti Jum,Дашти Ҷум (Dashti Jum),Дашти Джум,Tajikistan,38.01614,70.21207,
76,76,Сангвор,Сангвор,Sangvor,Сангвор (Sangvor),Сангвор,Tajikistan,38.77391,71.22415,
77,77,Поймазор,Поймазор,Poymazor,Поймазор (Poymazor),Поймазор,Tajikistan,38.65341,71.9735,
78,78,Рованд,Рованд,Rovand,Рованд (Rovand),Рованд,Tajikistan,38.59656,71.84874,
79,79,Техарв ,Техарв,Tekharv,Техарв (Tekharv),Техарв ,Tajikistan,38.52721,71.69135,
80,80,Бунай,Бунай,Bunay,Бунай (Bunay),Бунай,Tajikistan,38.43077,71.5547,
81,81,Кырговат,Курговад,Kurgovad,Курговад (Kurgovad),Курговад,Tajikistan,38.42192,71.11052,
82,82,Пишхарв,Пошхарв,Poshkharv,Пошхарв (Poshkharv),Пошхарв,Tajikistan,38.39842,71.15471,
83,83,Пшихарв,Пшихарв,Pshikharv,Пшихарв (Pshikharv),Пшихарв,Tajikistan,38.40746,71.23916,"В указателе атласа указан сектор В3, а на карте кишлак находится в секторе В4."
84,84,Панджоб,?,?,? (Panjob),Пяндж-Об,Uzbekistan,37.99773,66.91865,
85,85,Куляб,Кӯлоб,Kūlob,Кӯлоб (Kūlob),Куляб,Tajikistan,37.92664,69.79948,
86,86,Чогаммиена,Чагами Миёна,Chagami Miyona,Чагами Миёна (Chagami Miyona),Чагами Миёна,Tajikistan,37.82851,69.87851,
87,87,Сары-Чашма,Саричашма,Sarichashma,Саричашма (Sarichashma),Саричашма,Tajikistan,37.75817,69.8388,
88,88,Зархачо,?,?,? (Zarkhacho),?,Tajikistan,37.755999,69.950285,
89,89,Джильга,Ҷилга,Jilga,Ҷилга (Jilga),Джилга,Tajikistan,37.64948,69.8642,
90,90,Бог,Хуҷа Боғ,Khuja Bogh,Хуҷа Боғ (Khuja Bogh),Худжа-Бог,Tajikistan,37.76577,69.93941,
91,91,Ходжагалтон,Хоҷағалтон,Khojaghalton,Хоҷағалтон (Khojaghalton),Ходжагалтон,Tajikistan,37.83834,70.06668,
92,92,Йол,Ёл,Yol,Ёл (Yol),Ёл,Tajikistan,37.75993,70.19014,
93,93,Афтобзамин,?,?,? (Aftobzamin),?,Tajikistan,37.717591,70.203164,
94,94,Андероб,Андароб,Andarob,Андароб (Andarob),Андароб,Tajikistan,37.23757,71.48424,
95,95,Вогдз,Возг,Vozg,Возг (Vozg),Возг,Tajikistan,37.11621,71.44955,
96,96,Казиди,Қозидеҳ,Qozideh,Қозидеҳ (Qozideh),Козидех,Tajikistan,37.01302,71.46886,
97,B,Бухара,Buxoro,Buxoro,Buxoro,Бухара,Uzbekistan,39.76808,64.45557,
98,L,Ленинабад,Хуҷанд,Khujand,Хуҷанд (Khujand),Худжанд,Tajikistan,40.2735,69.63923,
99,S,Самарканд,Samarqand,Samarqand,Samarqand,Самарканд,Uzbekistan,39.65079,66.96535,
