settlement_id,feature_id,feature_orig,feature_rus,feature_eng,value_orig,value_rus,value_eng,value_comment_rus,value_comment_eng
1,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
2,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
3,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
4,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
5,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
6,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
7,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
8,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
9,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
10,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
11,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
12,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
13,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u + ū > ü, ū + ō > ū",[u / uː → y]; [uː / oː → uː],[u / uː → y]; [uː / oː → uː],,
14,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
15,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
16,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
17,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
18,1,Отражение исторических гласных u ū ō,Отражение исторических гласных /u uː oː/,Reflection of historical vowels /u uː oː/,"u > u + ū, ū > ū, ō > ů",[u → u / uː]; [uː → uː]; [oː → ɵ],[u → u / uː]; [uː → uː]; [oː → ɵ],,
