feature_id,feature_orig,feature_rus,feature_eng,feature_description,description_source,source,n_values
1,Отражение исторических гласных u ū ō,"Отражение исторических гласных \*u, \*ū, \*ō","Reflexes of historical vowels \*u, \*ū, \*ō","Middle Persian back vowels \*u, \*ū, \*ō have different reflexes in modern Tajik dialects:

1. **\*u → /u uː/; \*ū → /uː/; \*ō → /ɵ/**. All three vowels remain separate phonemes. The phoneme /uː/ is in clear opposition to /u/ only in open unstressed syllables. The phoneme /u/ is “unstable” and may be omitted in open unstressed syllables. The pronunciation of the phoneme /ɵ/ differs in quality across dialects, but on average it is more back than /ɵ/ in Near Panj dialects. Attested in Buxoro, East Fergana, Panjakent, Ūroteppa and West Fergana dialects and in some Falgar varieties.

2. **\*u, \*ū → /u/; \*ō → /ɵ/**. Historically long \*ū and short \*u have merged into one phoneme /u/. The phoneme /uː/ is in clear opposition to /u/ only in open unstressed syllables. The phoneme /u/ is “unstable” and may undergo total reduction in open unstressed syllables. The pronunciation of the phoneme /ɵ/ differs in quality across dialects. Attested in Boysun, Derbent, Qaratogh, Samarqand and Varzob dialects.

3. **\*u, \*ū → /y/; \*ū, \*ō → /uː/**. In most cases, historically long \*ū has changed into /y/ (merging with short \*u), but in some words \*ū has retained its vowel quality and changed into /uː/ (thus merging with \*ō). The pronunciation of the phoneme /y/ differs in quality across dialects, specifically in backness. Attested in Matcha, North Fergana, South Fergana dialects and in some Falgar varieties.

4. **\*u → /ɯ/; \*ū, \*ō → /uː/**. The historic vowels \*ū and \*ō have merged into one phoneme /uː/. The pronunciation of the phoneme /ɯ/ has various allophones and may undergo fronting, labialization or reduction depending on the phonetic context. Attested in Badakhshan, Karategin, Kūlob, Vakhiyo-Darvoz dialects and in some Near Panj varieties. According to Rastorgueva’s description, this type is also attested in some Varzob and Hisor varieties, but this is not reflected on her map.

5. **\*u → /ɯ/; \*ū → /y/; \*ō → /ɵ/**. All three vowels remain separate phonemes, but with significant changes in quality. These varieties also have the phoneme /uː/, which in most cases is the result of change from the Middle Persian \*ā before nasals. In some words of high register, mostly of Arabic origin, there is /uː/ that goes back to \*u or \*ū. The pronunciation of the phoneme /ɵ/ differs in quality across dialects, but on average it is more front than /ɵ/ in northern dialects. Attested in Near Panj dialects.","Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 23–28.","Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 164.",6
2,Отражение исторических гласных i ī,"Отражение исторических гласных \*i, \*ī","Reflexes of historical vowels \*i, \*ī","Middle Persian front vowels \*i, \*ī have different reflexes in modern Tajik dialects:

1. **\*i → /i/; \*ī → /i iː/**. The two vowels remain separate phonemes. Nevertheless, in most dialects they are in clear opposition to each other only in open unstressed syllables. Attested in Falgar, Fergana, Matcha, Panjakent, Samarqand-Buxoro, Upper Chirchiq and Ūroteppa dialects.

2. **\*i, \*ī → /i/**. The two historic vowels have merged into one phoneme /i/. Attested in Badakhshan, Boysun, Derbent, Karategin, Kūlob, Near Panj, Qaratogh, Rogh, Vakhiyo-Darvoz and Varzob dialects.","Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 20–23.","Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 165.",3
3,"Употребление фарингальных согласных h, ẖ, ع",Наличие фарингальных согласных /h ħ ʔ/,Presence of pharyngeal consonants /h ħ ʔ/,,"Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 45–46, 51–52.","Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 166.",5
4,Интервокальное и поствокальное b,Спирантизация /b/ в интервокальной и поствокальной позициях,Spirantization of /b/ in intervocalic and postvocalic positions,,"Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 47–49.","Rastorgueva, Vera. 1964. Опыт сравнительного изучения таджикских говоров [Experience of comparative research on Tajik dialects]. Moscow: Nauka. P. 167.",4
5,Функции местоимённых энклитик,Функции местоимённых энклитик,Functions of pronominal enclitics,,,,4
6,"Употребление приставки bu-, bъ-","Употребление префикса /bu/, /bɯ/","Use of the prefix /bu/, /bɯ/",,,,4
7,Употребление приставки me в форме настоящего-будущего времени,Формы аффикса /me/ в настояще-будущем времени,Forms of the affix /me/ in the Present-Future tense,,,,6
8,Глагольные окончания 3-го лица единственного числа,Форма глагольного суффикса 3-го лица единственного числа,Form of the verb suffix in 3rd person singular,,,,4
9,Глагольные окончания 2-го лица множественного числа,Форма глагольного суффикса 2-го лица множественного числа,Form of the verb suffix in 2nd person plural,,,,9
10,Форма перфекта в 3-м лице единственного числа,Форма перфекта в 3-м лице единственного числа,The Perfect form in 3rd person singular,,,,5
